Week,Organization,Treasury,Members,Territories,Heat,Active
0,Solomons' Bakery,1682,6,1,0,True
0,Backstreet Boys,1709,5,2,0,True
0,The Cabal,1345,5,1,0,True
0,Camden Boys,2531,5,1,0,True
0,Kimber's Boys,2177,5,1,0,True
0,Sabini's Gang,2506,5,1,0,True
1,Solomons' Bakery,1682,6,2,0,True
1,Backstreet Boys,1724,6,2,0,True
1,The Cabal,1347,5,1,0,True
1,Camden Boys,2609,5,1,0,True
1,Kimber's Boys,2193,5,1,0,True
1,Sabini's Gang,2538,5,1,0,True
2,Solomons' Bakery,1682,6,3,0,True
2,Backstreet Boys,1729,7,2,0,True
2,The Cabal,1349,6,1,0,True
2,Camden Boys,2687,5,1,0,True
2,Kimber's Boys,2209,5,1,0,True
2,Sabini's Gang,2570,6,1,0,True
3,Solomons' Bakery,1682,6,3,0,True
3,Backstreet Boys,1724,7,2,0,True
3,The Cabal,1341,6,1,0,True
3,Camden Boys,2848,5,2,0,True
3,Kimber's Boys,2225,5,1,0,True
3,Sabini's Gang,2592,7,1,0,True
4,Solomons' Bakery,1682,6,3,0,True
4,Backstreet Boys,1719,7,3,0,True
4,The Cabal,1333,5,1,0,True
4,Camden Boys,3009,5,3,0,True
4,Kimber's Boys,2241,5,1,0,True
4,Sabini's Gang,2604,7,1,0,True
5,Solomons' Bakery,1741,7,3,0,True
5,Backstreet Boys,1714,7,4,0,True
5,The Cabal,1335,5,1,0,True
5,Camden Boys,3170,5,3,0,True
5,Kimber's Boys,2257,6,1,0,True
5,Sabini's Gang,2616,8,1,0,True
6,Solomons' Bakery,1790,8,3,0,True
6,Backstreet Boys,1709,7,4,0,True
6,The Cabal,1392,5,1,0,True
6,Camden Boys,3331,5,3,0,True
6,Kimber's Boys,2263,6,1,0,True
6,Sabini's Gang,2618,8,1,0,True
7,Solomons' Bakery,1829,7,3,0,True
7,Backstreet Boys,1704,7,4,0,True
7,The Cabal,1508,5,1,0,True
7,Camden Boys,3492,5,3,0,True
7,Kimber's Boys,2269,6,1,0,True
7,Sabini's Gang,2620,9,1,0,True
8,Solomons' Bakery,1878,7,3,0,True
8,Backstreet Boys,1699,7,4,0,True
8,The Cabal,1624,5,1,0,True
8,Camden Boys,3717,5,3,0,True
8,Kimber's Boys,2275,6,1,0,True
8,Sabini's Gang,2612,9,1,0,True
9,Solomons' Bakery,1992,8,3,0,True
9,Backstreet Boys,1754,7,5,0,True
9,The Cabal,1740,6,1,0,True
9,Camden Boys,4015,5,3,0,True
9,Kimber's Boys,2281,6,1,0,True
9,Sabini's Gang,2604,9,2,0,True
10,Solomons' Bakery,2096,9,3,0,True
10,Backstreet Boys,1809,7,6,0,True
10,The Cabal,1846,6,1,0,True
10,Camden Boys,4313,4,3,0,True
10,Kimber's Boys,2287,6,1,0,True
10,Sabini's Gang,2596,10,2,0,True
11,Solomons' Bakery,2190,9,4,0,True
11,Backstreet Boys,1864,7,6,0,True
11,The Cabal,1952,5,1,0,True
11,Camden Boys,4621,4,3,0,True
11,Kimber's Boys,2351,6,2,0,True
11,Sabini's Gang,2578,10,3,0,True
12,Solomons' Bakery,2284,10,4,0,True
12,Backstreet Boys,1919,7,6,0,True
12,The Cabal,0,0,0,0,False
12,Camden Boys,4929,4,4,0,True
12,Kimber's Boys,2415,6,2,0,True
12,Sabini's Gang,4628,10,4,0,True
13,Solomons' Bakery,2368,10,4,0,True
13,Backstreet Boys,2029,7,6,0,True
13,The Cabal,0,0,0,0,False
13,Camden Boys,5237,4,4,0,True
13,Kimber's Boys,2551,7,2,0,True
13,Sabini's Gang,4610,10,4,0,True
14,Solomons' Bakery,2452,10,4,0,True
14,Backstreet Boys,2216,6,6,0,True
14,The Cabal,0,0,0,0,False
14,Camden Boys,5634,4,4,0,True
14,Kimber's Boys,2677,8,2,0,True
14,Sabini's Gang,4592,11,4,0,True
15,Solomons' Bakery,2536,10,4,0,True
15,Backstreet Boys,2413,6,6,0,True
15,The Cabal,0,0,0,0,False
15,Camden Boys,6090,5,4,0,True
15,Kimber's Boys,2793,9,2,0,True
15,Sabini's Gang,4564,11,4,0,True
16,Solomons' Bakery,2620,10,4,0,True
16,Backstreet Boys,2610,7,6,0,True
16,The Cabal,0,0,0,0,False
16,Camden Boys,6536,5,4,0,True
16,Kimber's Boys,2899,8,2,0,True
16,Sabini's Gang,4536,11,4,0,True
17,Solomons' Bakery,2704,10,4,0,True
17,Backstreet Boys,2797,7,6,0,True
17,The Cabal,0,0,0,0,False
17,Camden Boys,6982,5,4,0,True
17,Kimber's Boys,3015,8,2,0,True
17,Sabini's Gang,4561,11,4,0,True
18,Solomons' Bakery,2788,10,4,0,True
18,Backstreet Boys,2984,7,6,0,True
18,The Cabal,0,0,0,0,False
18,Camden Boys,7428,5,4,0,True
18,Kimber's Boys,3199,8,2,0,True
18,Sabini's Gang,4586,11,4,0,True
19,Solomons' Bakery,2872,11,4,0,True
19,Backstreet Boys,3261,7,6,0,True
19,The Cabal,0,0,0,0,False
19,Camden Boys,7874,5,5,0,True
19,Kimber's Boys,3383,8,1,0,True
19,Sabini's Gang,4611,11,4,0,True
20,Solomons' Bakery,2946,11,4,0,True
20,Backstreet Boys,3538,8,6,0,True
20,The Cabal,0,0,0,0,False
20,Camden Boys,8320,5,5,0,True
20,Kimber's Boys,3567,8,1,0,True
20,Sabini's Gang,4636,12,4,0,True
21,Solomons' Bakery,3020,11,4,0,True
21,Backstreet Boys,3805,8,6,0,True
21,The Cabal,0,0,0,0,False
21,Camden Boys,8854,6,5,0,True
21,Kimber's Boys,3751,8,1,0,True
21,Sabini's Gang,4651,12,4,0,True
22,Solomons' Bakery,3094,12,4,0,True
22,Backstreet Boys,4072,8,6,0,True
22,The Cabal,0,0,0,0,False
22,Camden Boys,9378,6,5,0,True
22,Kimber's Boys,3935,8,1,0,True
