Week,Organization,Treasury,Members,Territories,Heat,Active
0,The Cabal,2998,5,2,0,True
0,Peaky Blinders,1826,6,1,0,True
0,Solomons' Bakery,1845,5,1,0,True
0,Kimber's Boys,2262,5,2,0,True
0,Sabini's Gang,2727,5,1,0,True
0,Camden Boys,2859,5,1,0,True
0,The Iron Hand,1030,5,1,0,True
0,Backstreet Boys,1965,5,1,0,True
1,The Cabal,3017,6,2,0,True
1,Peaky Blinders,1821,7,1,0,True
1,Solomons' Bakery,1945,5,1,0,True
1,Kimber's Boys,2288,5,2,0,True
1,Sabini's Gang,2731,5,1,0,True
1,Camden Boys,2987,5,2,0,True
1,The Iron Hand,1032,5,1,0,True
1,Backstreet Boys,2059,5,1,0,True
2,The Cabal,3026,6,2,0,True
2,Peaky Blinders,1806,7,2,0,True
2,Solomons' Bakery,2045,5,1,0,True
2,Kimber's Boys,2383,6,2,0,True
2,Sabini's Gang,2735,5,1,0,True
2,Camden Boys,3115,6,2,0,True
2,The Iron Hand,1109,5,1,0,True
2,Backstreet Boys,2153,5,1,0,True
3,The Cabal,3035,7,2,0,True
3,Peaky Blinders,1791,7,2,0,True
3,Solomons' Bakery,2145,5,1,0,True
3,Kimber's Boys,2468,6,2,0,True
3,Sabini's Gang,2739,6,1,0,True
3,Camden Boys,3233,5,2,0,True
3,The Iron Hand,1186,5,2,0,True
3,Backstreet Boys,2307,5,1,0,True
4,The Cabal,3034,8,2,0,True
4,Peaky Blinders,1776,7,2,0,True
4,Solomons' Bakery,2245,5,1,0,True
4,Kimber's Boys,2610,6,2,0,True
4,Sabini's Gang,2733,6,1,0,True
4,Camden Boys,3361,6,2,0,True
4,The Iron Hand,1263,5,2,0,True
4,Backstreet Boys,2461,5,1,0,True
5,The Cabal,3023,8,2,0,True
5,Peaky Blinders,1820,7,3,0,True
5,Solomons' Bakery,2345,6,1,0,True
5,Kimber's Boys,2842,6,2,0,True
5,Sabini's Gang,2727,4,2,0,True
5,Camden Boys,3479,6,2,0,True
5,The Iron Hand,1340,5,2,0,True
5,Backstreet Boys,2682,5,1,0,True
6,The Cabal,3012,8,2,0,True
6,Peaky Blinders,1864,6,3,0,True
6,Solomons' Bakery,2435,7,1,0,True
6,Kimber's Boys,3140,6,2,0,True
6,Sabini's Gang,2741,4,3,0,True
6,Camden Boys,3655,4,2,0,True
6,The Iron Hand,1417,5,2,0,True
6,Backstreet Boys,2903,4,1,0,True
7,The Cabal,3001,8,2,0,True
7,Peaky Blinders,1918,7,3,0,True
7,Solomons' Bakery,2515,8,1,0,True
7,Kimber's Boys,3506,6,2,0,True
7,Sabini's Gang,2755,4,3,0,True
7,Camden Boys,3851,4,2,0,True
7,The Iron Hand,1544,5,2,0,True
7,Backstreet Boys,3188,4,1,0,True
8,The Cabal,2990,9,2,0,True
8,Peaky Blinders,1962,4,3,0,True
8,Solomons' Bakery,2585,9,1,0,True
8,Kimber's Boys,3925,5,2,0,True
8,Sabini's Gang,6242,4,4,0,True
8,Camden Boys,4100,4,3,0,True
8,The Iron Hand,1671,5,2,0,True
8,Backstreet Boys,0,0,0,0,False
9,The Cabal,2969,10,2,0,True
9,Peaky Blinders,2036,4,3,0,True
9,Solomons' Bakery,2645,9,1,0,True
9,Kimber's Boys,4354,6,2,0,True
9,Sabini's Gang,6256,4,4,0,True
9,Camden Boys,4349,3,3,0,True
9,The Iron Hand,1871,3,2,0,True
9,Backstreet Boys,0,0,0,0,False
10,The Cabal,2938,10,3,0,True
10,Peaky Blinders,2110,4,3,0,True
10,Solomons' Bakery,2705,9,1,0,True
10,Kimber's Boys,4773,5,3,0,True
10,Sabini's Gang,6270,3,3,0,True
10,Camden Boys,4608,1,3,0,True
10,The Iron Hand,2146,3,2,0,True
10,Backstreet Boys,0,0,0,0,False
11,The Cabal,2907,10,3,0,True
11,Peaky Blinders,2184,4,3,0,True
11,Solomons' Bakery,2765,8,2,0,True
11,Kimber's Boys,5202,5,3,0,True
11,Sabini's Gang,6359,3,4,0,True
11,Camden Boys,4964,2,2,0,True
11,The Iron Hand,2421,3,3,0,True
11,Backstreet Boys,0,0,0,0,False
12,The Cabal,2876,9,4,0,True
12,Peaky Blinders,2258,4,3,0,True
12,Solomons' Bakery,2835,7,3,0,True
12,Kimber's Boys,5685,5,3,0,True
12,Sabini's Gang,6448,4,3,0,True
12,Camden Boys,5310,2,2,0,True
12,The Iron Hand,2696,4,2,0,True
12,Backstreet Boys,0,0,0,0,False
13,The Cabal,2855,8,4,0,True
13,Peaky Blinders,2332,4,3,0,True
13,Solomons' Bakery,2915,7,3,0,True
13,Kimber's Boys,6168,3,3,0,True
13,Sabini's Gang,6527,2,4,0,True
13,Camden Boys,5656,2,2,0,True
13,The Iron Hand,2961,3,1,0,True
13,Backstreet Boys,0,0,0,0,False
14,The Cabal,2844,8,4,0,True
14,Peaky Blinders,2406,5,3,0,True
14,Solomons' Bakery,2995,6,3,0,True
14,Kimber's Boys,6671,3,3,0,True
14,Sabini's Gang,9922,2,5,0,True
14,Camden Boys,6002,1,2,0,True
14,The Iron Hand,0,0,0,0,False
14,Backstreet Boys,0,0,0,0,False
15,The Cabal,2895,7,5,0,True
15,Peaky Blinders,2470,4,3,0,True
15,Solomons' Bakery,3085,5,4,0,True
15,Kimber's Boys,7174,3,3,0,True
15,Sabini's Gang,10021,2,4,0,True
15,Camden Boys,6358,1,1,0,True
15,The Iron Hand,0,0,0,0,False
15,Backstreet Boys,0,0,0,0,False
16,The Cabal,2956,7,6,0,True
16,Peaky Blinders,2544,4,3,0,True
16,Solomons' Bakery,3185,4,4,0,True
16,Kimber's Boys,7677,3,3,0,True
16,Sabini's Gang,10120,2,3,0,True
16,Camden Boys,6714,1,1,0,True
16,The Iron Hand,0,0,0,0,False
16,Backstreet Boys,0,0,0,0,False
17,The Cabal,3017,7,6,0,True
17,Peaky Blinders,2694,5,3,0,True
17,Solomons' Bakery,10365,3,5,0,True
17,Kimber's Boys,8238,4,3,0,True
17,Sabini's Gang,10219,2,3,0,True
17,Camden Boys,0,0,0,0,False
17,The Iron Hand,0,0,0,0,False
17,Backstreet Boys,0,0,0,0,False
18,The Cabal,3147,7,7,0,True
18,Peaky Blinders,2834,5,3,0,True
18,Solomons' Bakery,10485,3,5,0,True
18,Kimber's Boys,8789,3,3,0,True
18,Sabini's Gang,10374,2,2,0,True
18,Camden Boys,0,0,0,0,False
18,The Iron Hand,0,0,0,0,False
18,Backstreet Boys,0,0,0,0,False
19,The Cabal,3277,7,7,0,True
19,Peaky Blinders,2974,6,3,0,True
19,Solomons' Bakery,10673,3,5,0,True
19,Kimber's Boys,9350,3,3,0,True
19,Sabini's Gang,10587,2,2,0,True
19,Camden Boys,0,0,0,0,False
19,The Iron Hand,0,0,0,0,False
19,Backstreet Boys,0,0,0,0,False
