Week,Organization,Treasury,Members,Territories,Heat,Active
0,Kimber's Boys,2350,10,1,0,True
0,The Cabal,1784,10,1,0,True
0,Backstreet Boys,1566,11,1,0,True
0,Sabini's Gang,2039,10,1,0,True
0,Camden Boys,2660,10,1,0,True
0,Peaky Blinders,2862,10,1,0,True
1,Kimber's Boys,2335,10,1,0,True
1,The Cabal,1762,11,1,0,True
1,Backstreet Boys,1510,11,1,0,True
1,Sabini's Gang,2004,10,1,0,True
1,Camden Boys,2706,10,1,0,True
1,Peaky Blinders,2832,10,1,0,True
2,Kimber's Boys,2320,10,1,0,True
2,The Cabal,1730,11,2,0,True
2,Backstreet Boys,1454,11,1,0,True
2,Sabini's Gang,1969,10,1,0,True
2,Camden Boys,2752,10,1,0,True
2,Peaky Blinders,2856,10,1,0,True
3,Kimber's Boys,2305,10,1,0,True
3,The Cabal,1698,11,2,0,True
3,Backstreet Boys,1466,11,2,0,True
3,Sabini's Gang,1934,11,1,0,True
3,Camden Boys,2874,11,1,0,True
3,Peaky Blinders,2880,10,1,0,True
4,Kimber's Boys,2290,10,2,0,True
4,The Cabal,1666,11,2,0,True
4,Backstreet Boys,1478,11,2,0,True
4,Sabini's Gang,1889,11,1,0,True
4,Camden Boys,2986,12,1,0,True
4,Peaky Blinders,2904,11,1,0,True
5,Kimber's Boys,2275,10,2,0,True
5,The Cabal,1686,11,3,0,True
5,Backstreet Boys,1555,8,2,0,True
5,Sabini's Gang,1926,11,2,0,True
5,Camden Boys,3088,10,1,0,True
5,Peaky Blinders,2918,12,1,0,True
6,Kimber's Boys,2260,11,2,0,True
6,The Cabal,1706,11,4,0,True
6,Backstreet Boys,1662,9,1,0,True
6,Sabini's Gang,1963,11,2,0,True
6,Camden Boys,3288,9,2,0,True
6,Peaky Blinders,2922,12,1,0,True
7,Kimber's Boys,2235,11,2,0,True
7,The Cabal,1726,11,4,0,True
7,Backstreet Boys,4743,9,2,0,True
7,Sabini's Gang,2000,11,2,0,True
7,Camden Boys,3498,10,2,0,True
7,Peaky Blinders,0,0,0,0,False
8,Kimber's Boys,2273,11,2,0,True
8,The Cabal,1746,11,4,0,True
8,Backstreet Boys,4840,8,3,0,True
8,Sabini's Gang,2037,11,2,0,True
8,Camden Boys,3698,10,2,0,True
8,Peaky Blinders,0,0,0,0,False
9,Kimber's Boys,2363,11,2,0,True
9,The Cabal,1856,11,5,0,True
9,Backstreet Boys,4947,8,3,0,True
9,Sabini's Gang,2074,11,2,0,True
9,Camden Boys,3898,10,3,0,True
9,Peaky Blinders,0,0,0,0,False
10,Kimber's Boys,2453,11,2,0,True
10,The Cabal,1966,12,5,0,True
10,Backstreet Boys,5054,9,3,0,True
10,Sabini's Gang,2111,11,2,0,True
10,Camden Boys,4098,10,3,0,True
10,Peaky Blinders,0,0,0,0,False
11,Kimber's Boys,2543,11,2,0,True
11,The Cabal,2066,12,6,0,True
11,Backstreet Boys,5151,9,3,0,True
11,Sabini's Gang,2148,11,2,0,True
11,Camden Boys,4369,10,3,0,True
11,Peaky Blinders,0,0,0,0,False
12,Kimber's Boys,2704,11,2,0,True
12,The Cabal,2166,12,7,0,True
12,Backstreet Boys,5248,6,3,0,True
12,Sabini's Gang,2266,11,2,0,True
12,Camden Boys,4725,8,3,0,True
12,Peaky Blinders,0,0,0,0,False
13,Kimber's Boys,2865,12,2,0,True
13,The Cabal,2266,12,8,0,True
13,Backstreet Boys,5375,6,3,0,True
13,Sabini's Gang,2434,11,3,0,True
13,Camden Boys,5101,8,4,0,True
13,Peaky Blinders,0,0,0,0,False
14,Kimber's Boys,3016,12,2,0,True
14,The Cabal,2366,12,8,0,True
14,Backstreet Boys,5502,6,3,0,True
14,Sabini's Gang,2602,11,3,0,True
14,Camden Boys,5477,9,4,0,True
14,Peaky Blinders,0,0,0,0,False
15,Kimber's Boys,3228,12,2,0,True
15,The Cabal,2466,12,8,0,True
15,Backstreet Boys,5629,6,3,0,True
15,Sabini's Gang,2853,10,3,0,True
15,Camden Boys,5843,8,4,0,True
15,Peaky Blinders,0,0,0,0,False
16,Kimber's Boys,3440,12,2,0,True
16,The Cabal,2648,11,8,0,True
16,Backstreet Boys,5756,6,3,0,True
16,Sabini's Gang,3114,10,3,0,True
16,Camden Boys,6219,7,4,0,True
16,Peaky Blinders,0,0,0,0,False
17,Kimber's Boys,3735,12,2,0,True
17,The Cabal,2923,12,8,0,True
17,Backstreet Boys,5935,6,3,0,True
17,Sabini's Gang,3375,11,3,0,True
17,Camden Boys,6605,8,4,0,True
17,Peaky Blinders,0,0,0,0,False
18,Kimber's Boys,4030,12,2,0,True
18,The Cabal,3188,12,8,0,True
18,Backstreet Boys,6114,6,3,0,True
18,Sabini's Gang,3626,11,3,0,True
18,Camden Boys,6981,8,4,0,True
18,Peaky Blinders,0,0,0,0,False
19,Kimber's Boys,4413,12,2,0,True
19,The Cabal,3453,12,8,0,True
19,Backstreet Boys,6293,6,3,0,True
19,Sabini's Gang,3877,11,3,0,True
19,Camden Boys,7411,7,4,0,True
19,Peaky Blinders,0,0,0,0,False
